name,user rating,user review,is_valid,negative,neutral,positive,compound
Stop Making Sense,5.0,"getting so much mileage out of my stop making sense vhs tape that i wouldn't be surprised if it breaks soon. incredibly rewarding purchase, can be thrown on any time: when sad, when happy, during the day, during the evening, played quietly for background noise at bedtime, or loudly while cleaning with the windows open. there is no wrong time to rewind the stop making sense vhs tape, it will always make sense to press play again",True,0.1,0.74,0.16,0.7637
The Twilight Saga: New Moon,2.0,"showed up to a twilight (2008) screening, this played instead, and they couldn't fix it. not the worst thing that's ever happened to me by any means but felt like dipping your hand into a candy bag expecting a skittle and instead biting down on a stale raisin. sad!",True,0.069,0.733,0.198,0.7727
Disturbing Behavior,5.0,i always forget about the part where katie holmes straight up punches the girl in the mental institution. i fucking love this silly movie dude,True,0.062,0.683,0.255,0.7138
The Chronology of Water,4.5,"AFI 2025: film #17
'before i hated him, i loved him'
the older i get, the more trauma i collect, the more grief i experience, the more i find myself haunted. memories slap me in the face out of left field, and one particularly sinister bad dream can ruin my whole day upon waking. the memories stack up in my mind, pushing old ones out to take up space, infecting my cranium like a virus that’ll never shake loose. and no matter how well i'm doing and how happy i am in life, these ghosts live with me now, unpacking their bags and settling down, and every day i adjust to their presence
all that to say, this surprised the fuck out of me. viscerally raw, like cracking open the subconscious like an egg just to see what pours out. the only thing i can think to compare it to cinematically is the work of lynne ramsay, my favorite director, and i don't make that comparison lightly. which definitely helps explain why this worked so well for me: the editing is organically erratic, splicing like it wants to wound. the sound design cracks like a whip, unyielding and intuitive. imogen poots throws down an unbelievable performance, oozing with pure electricity on gritty 16mm, tying the whole thing together with the kind of talent you always hope to find in a movie like this but rarely come across
and my first thought when it ended? that i'm not sure if i can ever watch this again. it's brilliant but deeply unpleasant. i often find no issue in revisiting uncomfortable films, as well as waving away ones that dwell too heavily in the morbidity and lack real worth. but this lays snugly somewhere in between, something i'm so glad i got to experience but need at least some time to digest. might read the book in the meantime. so yeah. super chill film, what a breezy watch",True,0.09,0.743,0.167,0.9695
Mirrors No. 3,4.0,"AFI 2025: film #8
'she's not good. you just can't see it'
why must a movie be “good” ? Is it not enough to sit somewhere dark and see paula beer's beautiful face, huge? (but this Was good, so good. authentically portrays human connection so tenderly. gotta love a petzold)",True,0.025,0.621,0.354,0.9772
Bugonia,4.0,"lanthimos never lets me down, this is one of the only constants i can rely on anymore. the sun rises in the east, what goes up must come down, and yorgos can only create gnarly bangers like this before unleashing them upon the earth like a box full of shaken up hornets
high praise, but not misplaced considering this one is actually on the lower end of my ever growing ranked filmography of the guy and i'm STILL floored by it. but i digress: holy shit. the whole last act is incorrigible, but the final scene is one of the best of the year. and now i'm gonna leave you with this",True,0.08,0.801,0.119,0.6187
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,True,0.104,0.75,0.146,0.3147
Disposable Humanity,4.0,"superfest 2025: film #10
'if we had been alive today during the war, we wouldn't be here today. then you would not be able to get to know us anymore'
been anticipating catching this doc all year and finally got my chance thanks to superfest, (where it's playing free all weekend on vimeo). i found it often hard to watch but quite informative, i agree with many reviews relating it to something that might appear on PBS, in a complimentary way. on a personal note, i can't remember the last time i cried for such a long time, broken only by the brief pauses i took to dry my eyes and wipe off my glasses. back as a disabled teenager i remember reading dozens of wikipedia articles about T4 and wondering why i hadn't heard more about it, why it wasn't an integral piece of widespread holocaust history. this answers many of those questions and hopefully helps forge a path forward for disabled people as a collective so we can educate, grieve, and strive for better. i definitively recommend this one as a 'must see' film",True,0.068,0.791,0.141,0.9293
Little Monsters,,"superfest 2025: film #7
a great short! sickly funny and down to earth. a particularly good line: 'you guys are the worst handicapped kids in all of france'",True,0.106,0.622,0.272,0.7495
Audio Description,,"superfest 2025: film #1
such an interesting and well executed concept!!! lee pugsley is so naturally funny",True,0.0,0.613,0.387,0.834
