name,user rating,user review,is_valid,negative,neutral,positive,compound,clean_title_x,matched_title,imdb_id,title,original_title,clean_title_y,genres,plot,directors,writers,actors,companies
Stop Making Sense,5,"getting so much mileage out of my stop making sense vhs tape that i wouldn't be surprised if it breaks soon. incredibly rewarding purchase, can be thrown on any time: when sad, when happy, during the day, during the evening, played quietly for background noise at bedtime, or loudly while cleaning with the windows open. there is no wrong time to rewind the stop making sense vhs tape, it will always make sense to press play again",TRUE,0.1,0.74,0.16,0.7637,stop making sense,stop making sense,tt0088178,Stop Making Sense,Stop Making Sense,stop making sense,"Documentary, Music",A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,,,,
The Twilight Saga: New Moon,2,"showed up to a twilight (2008) screening, this played instead, and they couldn't fix it. not the worst thing that's ever happened to me by any means but felt like dipping your hand into a candy bag expecting a skittle and instead biting down on a stale raisin. sad!",TRUE,0.069,0.733,0.198,0.7727,the twilight saga new moon,the twilight saga new moon,tt33436936,The Twilight Saga: New Moon,The Twilight Saga: New Moon,the twilight saga new moon,,,,,,
The Twilight Saga: New Moon,2,"showed up to a twilight (2008) screening, this played instead, and they couldn't fix it. not the worst thing that's ever happened to me by any means but felt like dipping your hand into a candy bag expecting a skittle and instead biting down on a stale raisin. sad!",TRUE,0.069,0.733,0.198,0.7727,the twilight saga new moon,the twilight saga new moon,tt1259571,The Twilight Saga: New Moon,The Twilight Saga: New Moon,the twilight saga new moon,"Adventure, Drama, Fantasy, Romance","After Edward leaves because of an incident involving Bella, Jacob Black becomes her best friend. But what Bella doesn't realize is that Jacob also has a secret that will change their lives suddenly.",,,,
Disturbing Behavior,5,i always forget about the part where katie holmes straight up punches the girl in the mental institution. i fucking love this silly movie dude,TRUE,0.062,0.683,0.255,0.7138,disturbing behavior,disturbing behavior,tt0134619,Disturbing Behavior,Disturbing Behavior,disturbing behavior,"Horror, Mystery, Sci-Fi, Thriller","The new kid in Cradle Bay, Washington stumbles across something sinister about the town's method of transforming its unruly teens into upstanding citizens.",,,,
The Chronology of Water,4.5,"AFI 2025: film #17
'before i hated him, i loved him'
the older i get, the more trauma i collect, the more grief i experience, the more i find myself haunted. memories slap me in the face out of left field, and one particularly sinister bad dream can ruin my whole day upon waking. the memories stack up in my mind, pushing old ones out to take up space, infecting my cranium like a virus that’ll never shake loose. and no matter how well i'm doing and how happy i am in life, these ghosts live with me now, unpacking their bags and settling down, and every day i adjust to their presence
all that to say, this surprised the fuck out of me. viscerally raw, like cracking open the subconscious like an egg just to see what pours out. the only thing i can think to compare it to cinematically is the work of lynne ramsay, my favorite director, and i don't make that comparison lightly. which definitely helps explain why this worked so well for me: the editing is organically erratic, splicing like it wants to wound. the sound design cracks like a whip, unyielding and intuitive. imogen poots throws down an unbelievable performance, oozing with pure electricity on gritty 16mm, tying the whole thing together with the kind of talent you always hope to find in a movie like this but rarely come across
and my first thought when it ended? that i'm not sure if i can ever watch this again. it's brilliant but deeply unpleasant. i often find no issue in revisiting uncomfortable films, as well as waving away ones that dwell too heavily in the morbidity and lack real worth. but this lays snugly somewhere in between, something i'm so glad i got to experience but need at least some time to digest. might read the book in the meantime. so yeah. super chill film, what a breezy watch",TRUE,0.09,0.743,0.167,0.9695,the chronology of water,the chronology of water,tt8667404,The Chronology of Water,The Chronology of Water,the chronology of water,"Biography, Drama, Romance","An Olympic swimming hopeful flees her abusive home via a Texas scholarship. After losing it to addiction, she studies under Kesey in Oregon. Through writing, family, and self-discovery, she overcomes her troubled past.",,,,
Mirrors No. 3,4,"AFI 2025: film #8
'she's not good. you just can't see it'
why must a movie be “good” ? Is it not enough to sit somewhere dark and see paula beer's beautiful face, huge? (but this Was good, so good. authentically portrays human connection so tenderly. gotta love a petzold)",TRUE,0.025,0.621,0.354,0.9772,mirrors no 3,miroirs no 3,tt32247943,Mirrors No. 3,Miroirs No. 3,miroirs no 3,Drama,"After a car crash kills her boyfriend, piano student Laura is taken in by Betty, who witnessed the accident. Living with Betty's family brings comfort, but Laura starts questioning their intentions as time passes.",,,,
Bugonia,4,"lanthimos never lets me down, this is one of the only constants i can rely on anymore. the sun rises in the east, what goes up must come down, and yorgos can only create gnarly bangers like this before unleashing them upon the earth like a box full of shaken up hornets
high praise, but not misplaced considering this one is actually on the lower end of my ever growing ranked filmography of the guy and i'm STILL floored by it. but i digress: holy shit. the whole last act is incorrigible, but the final scene is one of the best of the year. and now i'm gonna leave you with this",TRUE,0.08,0.801,0.119,0.6187,bugonia,bugonia,tt12300742,Bugonia,Bugonia,bugonia,"Comedy, Crime, Sci-Fi","Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt1312221,Frankenstein,Frankenstein,frankenstein,"Drama, Horror, Sci-Fi",A brilliant but egotistical scientist brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation,,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt27726863,Frankenstein,Frankenstein,frankenstein,"Musical, Romance, Sci-Fi","Having lost his mother at a young age, Victor Frankenstein seeks to end human mortality and arrogantly enters territory beyond his control. While he enjoys unconditional love from Elizabeth, he grants none to his creation.",,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt10179354,Frankenstein,Frankenstein,frankenstein,,"A theatre troupe comes to town performing ""Frankenstein"" A young female reporter, who is investigating the legend, believes that the novel is not a fiction but the true story of a group of alchemists, founded by the young doctor Victor Frankenstein. In 1817, they managed to defeat mortality and return from the dead. Interviewing the theatre troupe members, the reporter is confronted with the dark heroes of the novel, who appear in the city more alive than ever. Her investigations lead her to a universe of monsters and finally to a revelation about the secret of an eternal love that defies even death. But what is real and what is just her imagination? Who are these ""actors""? Why have they come to her town? And who even is this young reporter?",,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt5880132,Frankenstein,Frankenstein,frankenstein,"Drama, Horror",,,,,
Frankenstein,3.5,the overwhelming urge to create life vs the shock in realizing you never wanted to actually care for your creation. victor you DEADBEAT! he went out to buy beakers & test tubes and never came back! COULDN'T EVEN GIVE OUR GUY A NAME 😭,TRUE,0.104,0.75,0.146,0.3147,frankenstein,frankenstein,tt1790697,Frankenstein,Frankenstein,frankenstein,Drama,,,,,
